,Unnamed: 0,videoId,id,textDisplay,likeCount,publishedAt,totalReplyCount,domain,genderBias,racialBias,hateSpeech,linguisticBias,textLevelContentBias,politicalBias,cognitiveBias
0,1672,j-2xHmcKkcY,Ugz1Ow_sqypto4yextp4AaABAg,"Has anyone had problems with breathlessness,when exercising if you push to much you feel like you are going to stop breathing.",0,2023-04-24T17:49:31Z,0,healthcare,0,0,0,0,0,0,0
1,2275,TunV-03_D_0,UgxSIOGgItFrpGAMkxt4AaABAg,I&#39;m not a doctor but Kefir drink makes better,1,2021-12-09T13:30:06Z,3,healthcare,0,0,0,0,0,0,0
2,64,OTrzXPTM0IE,UgyZ4Ol0Aha-9NRzJEp4AaABAg,Was it covid or OCD,0,2023-04-20T14:43:05Z,0,healthcare,0,0,0,0,0,0,0
3,2373,QJDvlzDR9pg,Ugwa0xwt4-uNz9yKCDJ4AaABAg,Seb how are you? Hoping your able to update on us how your doing,0,2020-02-15T14:00:03Z,0,healthcare,0,0,0,0,0,0,0
4,1019,DwgaIc3v3B0,Ugxz1XOhQ8cK5oz8_tl4AaABAg,New meditation video: https://youtu.be/VggHZLbX5K8</a>,2,2019-07-22T15:47:11Z,0,healthcare,0,0,0,0,0,0,0
5,1710,9XoI5jF1qoA,UgwSuHjYR2AbPK9FfGV4AaABAg,Love our videos? Check out our new courses made entirely with videos like this (without watermark): https://www.alilaacademy.com/</a>,5,2019-07-09T19:09:19Z,0,healthcare,0,0,0,0,0,0,0
6,1513,-55710WMpRY,Ugy2hBBcYL9U1OI-O7p4AaABAg,Is pausing at the start of the rep okay if all tension is lost? E.g. during a calf raise. is that the purpose?,0,2023-01-06T12:00:00Z,0,healthcare,0,0,0,0,0,0,0
7,1453,Y9TLwMDKkfE,Ugy87XMkTsCpK7WJfTZ4AaABAg,Can I hang if shoulder bursitis is currently painful?  I am active and can hang easily for 30 seconds at a time but I do have a bad stage of inflammation right now.  Not sure if I need to wait before starting regularly.,0,2021-01-05T17:00:29Z,0,healthcare,0,0,0,0,0,0,0
8,2202,0YWZdCjWt-A,UgxR853cOtGxbqRX3AZ4AaABAg,"Meeting Dr Ogoh on youTube is the best day of my life for curing my Cancer permanently, After 12 days of taking his Herbal medication I ordered, i also went for a test at the Hospital and the doctor there Confirmed it. Thanks doctor I’m forever grateful 🙏",7,2021-04-26T21:36:57Z,0,healthcare,0,0,0,0,1,0,0
9,2506,_tMORbU5c3Y,Ugz9JgEcNjN80Ql2O4B4AaABAg,Now i hate dogs😭 i might run away from ppl who has rabies,0,2021-02-18T13:30:08Z,0,healthcare,0,0,0,1,0,0,1
10,1430,Og0m9qFkO8k,Ugyg1pxFzUh6tT8UNqB4AaABAg,I can&#39;t sleep from all the pain so I came here. It&#39;s already 2am,5,2019-03-24T14:46:31Z,1,healthcare,0,0,0,0,0,0,0
11,1959,kopaa5dI48U,UgwXhQl_9BfAT5OAd9h4AaABAg,Nothing just burning in upper stomach in morning only after waking up ??,1,2021-05-12T14:00:26Z,0,healthcare,0,0,0,0,0,0,0
12,149,jPs4_MeuX7U,UgwfBaUvP15ZTlI6zbh4AaABAg,The three most terrifying words. I&#39;m here from the government and I&#39;m here to help,0,2024-02-22T04:25:05Z,0,healthcare,0,0,0,1,1,1,1
13,1159,auP95Xr59F0,UgyLUE2kfcaCoe0aLoB4AaABAg,"How much time it takes to recover? And can we join the gym? After 2,3 months?",0,2023-02-24T05:00:04Z,0,healthcare,0,0,0,0,0,0,0
14,2151,CutRFPEeftk,UgzBAXSjJKVumhQT1qd4AaABAg,Its not only effective but also affordable. igrotum is a real game-changer for those looking for accessible cancer treatment.,0,2021-11-30T13:18:05Z,0,healthcare,0,0,0,0,1,0,0
15,825,zyz8y0Ccuqo,UgxHZberNFXmj8VomH54AaABAg,"Hello, can I have this injury but feel the pain only in my forearm? Thanks. I have watched your video for FDP and the test led me here but soon find out you only talk about the pain in the palm which I do not have at all.",0,2021-05-14T16:00:36Z,2,healthcare,0,0,0,0,0,0,0
16,1635,E0IBMWQDEH4,UgyXuIoMGlsM6vl2xhh4AaABAg,The ads interrupting this video makes it very difficult to focus,0,2019-07-02T21:39:29Z,0,healthcare,0,0,0,0,0,0,0
17,144,jPs4_MeuX7U,UgwYoVkarNKJH9SMj7h4AaABAg,"I would’ve rather have been wrong about this than right. If I was wrong, at least it would’ve been my life at risk, but now I know almost all of my loved ones are at risk and it outweighs the care I have for my own survival. Just wish they would’ve listened.",0,2024-02-22T04:25:05Z,0,healthcare,0,0,0,0,0,0,0
